qname	qlength	qstart	qend	strand	tname	tlength	tstart	tend	divergence	mapq	attributes
1	1238593	322700	324064	-	7035918	1364	0	1364	0.0000	60	mm:0;ins:0,0;del:0,0;score:1364
23	48977	42385	43422	+	7401492	1201	0	1037	0.0000	60	mm:0;ins:0,0;del:0,0;score:1037
7	474387	173687	174683	-	7843387	996	0	996	0.0000	60	mm:0;ins:0,0;del:0,0;score:996
1	1238593	286505	288164	+	9353191	1659	0	1659	0.0000	60	mm:0;ins:0,0;del:0,0;score:1659
6	591782	366162	366826	-	9624312	664	0	664	0.0000	60	mm:0;ins:0,0;del:0,0;score:664
1	1238593	283475	285462	-	9647744	1987	0	1987	0.0000	60	mm:0;ins:0,0;del:0,0;score:1987
7	474387	162807	163384	-	10506753	577	0	577	0.0000	60	mm:0;ins:0,0;del:0,0;score:577
5	308816	54705	55411	+	10525881	706	0	706	0.0000	60	mm:0;ins:0,0;del:0,0;score:706
2	676873	648295	648896	-	10566899	601	0	601	0.0000	60	mm:0;ins:0,0;del:0,0;score:601
17	150032	39978	40701	+	10857095	723	0	723	0.0000	60	mm:0;ins:0,0;del:0,0;score:723
4	319932	87090	87723	+	11785975	633	0	633	0.0000	60	mm:0;ins:0,0;del:0,0;score:633
1	1238593	1166075	1166991	+	11913159	916	0	916	0.0000	60	mm:0;ins:0,0;del:0,0;score:916
15	103233	10024	10754	-	12088937	736	0	736	0.0258	60	mm:13;ins:0,0;del:1,6;score:653
15	103233	49308	49977	-	12142212	669	0	669	0.0000	60	mm:0;ins:0,0;del:0,0;score:669
12	131948	116588	116872	+	12464046	844	231	522	0.0687	60	mm:13;ins:0,0;del:1,7;score:206
1	1238593	1086692	1087477	+	12828038	785	0	785	0.0000	60	mm:0;ins:0,0;del:0,0;score:785
14	116408	94457	95865	+	12989137	1408	0	1408	0.0000	60	mm:0;ins:0,0;del:0,0;score:1408
1	1238593	691924	692032	+	13512421	508	400	508	0.0000	60	mm:0;ins:0,0;del:0,0;score:108
15	103233	43505	44761	+	13808643	1256	0	1256	0.0000	60	mm:0;ins:0,0;del:0,0;score:1256
7	474387	278098	278861	-	14363825	763	0	763	0.0000	60	mm:0;ins:0,0;del:0,0;score:763
1	1238593	946741	947599	+	14925874	858	0	858	0.0000	60	mm:0;ins:0,0;del:0,0;score:858
1	1238593	1229037	1229577	-	14930767	540	0	540	0.0000	60	mm:0;ins:0,0;del:0,0;score:540
1	1238593	380752	381432	-	15235208	680	0	680	0.0000	60	mm:0;ins:0,0;del:0,0;score:680
1	1238593	254755	255425	+	15244392	670	0	670	0.0000	60	mm:0;ins:0,0;del:0,0;score:670
2	676873	108970	109843	-	15338583	873	0	873	0.0000	43	mm:0;ins:0,0;del:0,0;score:873
4	319932	310367	310720	+	15473495	638	285	638	0.0000	60	mm:0;ins:0,0;del:0,0;score:353
2	676873	541864	542456	+	15655349	592	0	592	0.0000	60	mm:0;ins:0,0;del:0,0;score:592
7	474387	123685	124404	-	15850937	719	0	719	0.0000	60	mm:0;ins:0,0;del:0,0;score:719
16	107813	346	2183	+	17527621	1837	0	1837	0.0000	60	mm:0;ins:0,0;del:0,0;score:1837
21	33754	8284	10154	+	18566687	1870	0	1870	0.0000	60	mm:0;ins:0,0;del:0,0;score:1870
9	183372	99165	101091	+	18670262	1926	0	1926	0.0000	60	mm:0;ins:0,0;del:0,0;score:1926
1	1238593	843087	844456	+	18728932	1369	0	1369	0.0000	60	mm:0;ins:0,0;del:0,0;score:1369
13	131654	1001	2370	-	18728932	1369	0	1369	0.0000	60	mm:0;ins:0,0;del:0,0;score:1369
19	62488	55826	57195	-	18728932	1369	0	1369	0.0000	60	mm:0;ins:0,0;del:0,0;score:1369
1	1238593	155210	156175	+	18825147	965	0	965	0.0000	60	mm:0;ins:0,0;del:0,0;score:965
9	183372	58149	58805	+	18862406	656	0	656	0.0000	60	mm:0;ins:0,0;del:0,0;score:656
4	319932	102985	103818	-	19182066	833	0	833	0.0000	60	mm:0;ins:0,0;del:0,0;score:833
5	308816	63845	64784	+	19285131	939	0	939	0.0000	60	mm:0;ins:0,0;del:0,0;score:939
25	13316	3162	3842	-	19568142	680	0	680	0.0000	60	mm:0;ins:0,0;del:0,0;score:680
2	676873	354622	355221	-	19881349	599	0	599	0.0367	60	mm:22;ins:0,0;del:0,0;score:489
1	1238593	244772	245398	+	20736301	626	0	626	0.0000	60	mm:0;ins:0,0;del:0,0;score:626
1	1238593	689142	690109	-	21250177	967	0	967	0.0000	60	mm:0;ins:0,0;del:0,0;score:967
14	116408	23980	24556	+	21811802	576	0	576	0.0000	60	mm:0;ins:0,0;del:0,0;score:576
7	474387	2427	3038	-	21898755	611	0	611	0.0000	60	mm:0;ins:0,0;del:0,0;score:611
15	103233	74366	75379	-	23005982	1013	0	1013	0.0000	60	mm:0;ins:0,0;del:0,0;score:1013
7	474387	452436	452954	-	23471833	518	0	518	0.0000	60	mm:0;ins:0,0;del:0,0;score:518
3	369480	113226	113988	-	23838980	762	0	762	0.0000	60	mm:0;ins:0,0;del:0,0;score:762
1	1238593	472883	473404	+	23895105	521	0	521	0.0000	60	mm:0;ins:0,0;del:0,0;score:521
1	1238593	683921	684408	-	25128560	556	0	556	0.1884	60	mm:14;ins:1,12;del:3,81;score:288
1	1238593	12461	14191	+	25555645	1730	0	1730	0.0000	60	mm:0;ins:0,0;del:0,0;score:1730
1	1238593	621188	621296	+	25555645	1730	0	108	0.0000	60	mm:0;ins:0,0;del:0,0;score:108
8	284015	280651	281778	+	26818893	1127	0	1127	0.0000	60	mm:0;ins:0,0;del:0,0;score:1127
2	676873	251180	252307	-	26818893	1127	0	1127	0.0000	60	mm:0;ins:0,0;del:0,0;score:1127
4	319932	1612	2739	-	26818893	1127	0	1127	0.0000	60	mm:0;ins:0,0;del:0,0;score:1127
1	1238593	808474	808992	-	27471858	809	0	523	0.0363	60	mm:14;ins:0,0;del:1,5;score:437
25	13316	13208	13316	+	27914527	679	0	108	0.0000	0	mm:0;ins:0,0;del:0,0;score:108
6	591782	30341	31020	-	27914527	679	0	679	0.0000	60	mm:0;ins:0,0;del:0,0;score:679
6	591782	244889	245761	+	28433400	872	0	872	0.0000	60	mm:0;ins:0,0;del:0,0;score:872
2	676873	198687	199360	-	28926810	673	0	673	0.0000	60	mm:0;ins:0,0;del:0,0;score:673
9	183372	59135	59326	+	29176597	1387	527	718	0.0419	60	mm:8;ins:0,0;del:0,0;score:151
5	308816	274864	275880	-	29231621	1016	0	1016	0.0000	60	mm:0;ins:0,0;del:0,0;score:1016
6	591782	100547	100963	-	29270625	894	8	416	0.0505	60	mm:13;ins:1,8;del:0,0;score:329
13	131654	24695	24803	+	29563433	617	0	108	0.0000	60	mm:0;ins:0,0;del:0,0;score:108
3	369480	133136	133767	+	29770676	631	0	631	0.0000	60	mm:0;ins:0,0;del:0,0;score:631
16	107813	3532	4100	+	30002805	568	0	568	0.0000	40	mm:0;ins:0,0;del:0,0;score:568
6	591782	565395	566707	-	30750989	1312	0	1312	0.0000	60	mm:0;ins:0,0;del:0,0;score:1312
6	591782	246875	247403	+	30802079	528	0	528	0.0133	60	mm:7;ins:0,0;del:0,0;score:493
1	1238593	1066519	1067187	+	31402300	668	0	668	0.0000	60	mm:0;ins:0,0;del:0,0;score:668
1	1238593	568773	569804	+	31846255	1031	0	1031	0.0000	60	mm:0;ins:0,0;del:0,0;score:1031
17	150032	139369	139929	+	32043952	560	0	560	0.0000	60	mm:0;ins:0,0;del:0,0;score:560
24	14473	979	5430	+	32075402	4451	0	4451	0.0000	60	mm:0;ins:0,0;del:0,0;score:4451
5	308816	207788	209078	+	32111919	1290	0	1290	0.0000	60	mm:0;ins:0,0;del:0,0;score:1290
6	591782	440789	441439	-	32182102	650	0	650	0.0185	60	mm:12;ins:0,0;del:0,0;score:590
18	87812	54836	54995	+	32802276	595	0	159	0.0126	60	mm:2;ins:0,0;del:0,0;score:149
1	1238593	769816	771179	+	33022341	1363	0	1363	0.0000	60	mm:0;ins:0,0;del:0,0;score:1363
13	131654	62949	63564	-	34346331	615	0	615	0.0000	60	mm:0;ins:0,0;del:0,0;score:615
1	1238593	1234844	1235919	+	34779638	1075	0	1075	0.0000	60	mm:0;ins:0,0;del:0,0;score:1075
7	474387	219317	220569	-	34898744	1252	0	1252	0.0000	60	mm:0;ins:0,0;del:0,0;score:1252
6	591782	502985	503065	+	35232893	770	629	709	0.0000	60	mm:0;ins:0,0;del:0,0;score:80
8	284015	126208	126718	+	36020849	506	0	506	0.0078	60	mm:0;ins:1,4;del:0,0;score:496
4	319932	182959	184290	+	36078385	1331	0	1331	0.0000	60	mm:0;ins:0,0;del:0,0;score:1331
7	474387	266950	267511	-	36226714	561	0	561	0.0000	60	mm:0;ins:0,0;del:0,0;score:561
1	1238593	671809	672634	-	37348293	817	0	817	0.0303	60	mm:17;ins:1,8;del:0,0;score:718
7	474387	118730	118953	+	37693705	536	140	363	0.0224	5	mm:5;ins:0,0;del:0,0;score:198
2	676873	590542	591344	-	37766475	802	0	802	0.0000	60	mm:0;ins:0,0;del:0,0;score:802
11	237718	98203	98379	+	38056576	515	339	515	0.0114	1	mm:2;ins:0,0;del:0,0;score:166
6	591782	307604	308504	+	39193681	900	0	900	0.0000	60	mm:0;ins:0,0;del:0,0;score:900
5	308816	280246	281207	-	39416516	961	0	961	0.0000	60	mm:0;ins:0,0;del:0,0;score:961
20	62468	48121	49435	-	39561304	1314	0	1314	0.0000	60	mm:0;ins:0,0;del:0,0;score:1314
1	1238593	156919	157051	+	40710012	518	1	133	0.0455	40	mm:6;ins:0,0;del:0,0;score:102
5	308816	228964	229695	+	42006821	731	0	731	0.0000	60	mm:0;ins:0,0;del:0,0;score:731
9	183372	32685	33696	-	42431401	1011	0	1011	0.0000	60	mm:0;ins:0,0;del:0,0;score:1011
6	591782	348452	349239	+	43167427	787	0	787	0.0000	60	mm:0;ins:0,0;del:0,0;score:787
2	676873	47837	48575	-	43434539	738	0	738	0.0000	60	mm:0;ins:0,0;del:0,0;score:738
4	319932	261449	261590	+	44289637	640	499	640	0.0142	60	mm:2;ins:0,0;del:0,0;score:131
4	319932	273910	276733	+	44324183	2823	0	2823	0.0000	60	mm:0;ins:0,0;del:0,0;score:2823
10	150036	87448	87528	+	44823402	913	472	552	0.0000	60	mm:0;ins:0,0;del:0,0;score:80
3	369480	355640	356175	-	45092128	535	0	535	0.0000	60	mm:0;ins:0,0;del:0,0;score:535
14	116408	11571	12170	-	45985366	599	0	599	0.0000	60	mm:0;ins:0,0;del:0,0;score:599
4	319932	147642	147742	+	45985366	599	386	486	0.0000	60	mm:0;ins:0,0;del:0,0;score:100
6	591782	360498	360643	-	46959362	1484	0	152	0.0592	60	mm:2;ins:0,0;del:1,7;score:122
10	150036	100777	102261	-	46959362	1484	0	1484	0.0000	60	mm:0;ins:0,0;del:0,0;score:1484
1	1238593	954859	956141	+	48085203	1282	0	1282	0.0000	60	mm:0;ins:0,0;del:0,0;score:1282
16	107813	26658	28300	-	48085287	1642	0	1642	0.0000	60	mm:0;ins:0,0;del:0,0;score:1642
3	369480	301073	301816	-	48446132	743	0	743	0.0000	60	mm:0;ins:0,0;del:0,0;score:743
8	284015	242401	243172	+	48627431	771	0	771	0.0000	60	mm:0;ins:0,0;del:0,0;score:771
6	591782	407702	409674	+	48885626	1972	0	1972	0.0000	60	mm:0;ins:0,0;del:0,0;score:1972
17	150032	82455	83004	+	49693186	549	0	549	0.0000	60	mm:0;ins:0,0;del:0,0;score:549
1	1238593	829681	829803	-	49918007	528	406	528	0.0082	34	mm:1;ins:0,0;del:0,0;score:117
14	116408	76233	77802	-	50009769	1569	0	1569	0.0000	60	mm:0;ins:0,0;del:0,0;score:1569
11	237718	47905	48642	-	50284741	737	0	737	0.0000	60	mm:0;ins:0,0;del:0,0;score:737
8	284015	150687	151516	+	51562761	829	0	829	0.0000	60	mm:0;ins:0,0;del:0,0;score:829
15	103233	65	1499	-	51590854	1434	0	1434	0.0000	60	mm:0;ins:0,0;del:0,0;score:1434
3	369480	241900	242066	-	53019522	701	535	701	0.0181	60	mm:3;ins:0,0;del:0,0;score:151
5	308816	33647	33721	+	53650202	687	507	581	0.0000	60	mm:0;ins:0,0;del:0,0;score:74
1	1238593	965756	967089	-	53720673	1333	0	1333	0.0000	60	mm:0;ins:0,0;del:0,0;score:1333
1	1238593	243611	244773	+	53932575	1162	0	1162	0.0000	60	mm:0;ins:0,0;del:0,0;score:1162
9	183372	28553	29255	+	54274182	702	0	702	0.0000	60	mm:0;ins:0,0;del:0,0;score:702
7	474387	314179	315164	+	54345659	985	0	985	0.0000	60	mm:0;ins:0,0;del:0,0;score:985
2	676873	664842	666054	+	54360934	1212	0	1212	0.0000	60	mm:0;ins:0,0;del:0,0;score:1212
5	308816	167206	167749	+	54708795	543	0	543	0.0000	60	mm:0;ins:0,0;del:0,0;score:543
2	676873	129801	130635	-	56799215	834	0	834	0.0000	60	mm:0;ins:0,0;del:0,0;score:834
6	591782	572480	573073	-	56952441	593	0	593	0.0000	60	mm:0;ins:0,0;del:0,0;score:593
1	1238593	793876	793954	-	57314160	625	547	625	0.0000	60	mm:0;ins:0,0;del:0,0;score:78
1	1238593	350478	350574	+	57412911	1068	399	495	0.0208	60	mm:2;ins:0,0;del:0,0;score:86
3	369480	217965	218527	+	57555343	562	0	562	0.0000	60	mm:0;ins:0,0;del:0,0;score:562
6	591782	435257	436344	-	57605114	1087	0	1087	0.0000	60	mm:0;ins:0,0;del:0,0;score:1087
1	1238593	750803	751837	-	59367229	1034	0	1034	0.0000	60	mm:0;ins:0,0;del:0,0;score:1034
7	474387	182745	183456	+	59422903	878	0	711	0.0000	60	mm:0;ins:0,0;del:0,0;score:711
1	1238593	233466	234286	-	59553158	820	0	820	0.0000	60	mm:0;ins:0,0;del:0,0;score:820
6	591782	79896	80643	-	59848257	747	0	747	0.0000	60	mm:0;ins:0,0;del:0,0;score:747
2	676873	501366	502337	-	60069499	971	0	971	0.0000	60	mm:0;ins:0,0;del:0,0;score:971
6	591782	50478	50991	-	60934266	513	0	513	0.0000	60	mm:0;ins:0,0;del:0,0;score:513
2	676873	153406	154090	+	62029764	684	0	684	0.0000	60	mm:0;ins:0,0;del:0,0;score:684
7	474387	172964	173717	-	62290658	753	0	753	0.0000	60	mm:0;ins:0,0;del:0,0;score:753
12	131948	79745	80717	+	63071539	972	0	972	0.0000	60	mm:0;ins:0,0;del:0,0;score:972
5	308816	85479	86268	+	64278784	789	0	789	0.0000	60	mm:0;ins:0,0;del:0,0;score:789
3	369480	246548	246656	-	64278784	789	681	789	0.0000	60	mm:0;ins:0,0;del:0,0;score:108
14	116408	14436	16518	-	64887783	2082	0	2082	0.0000	60	mm:0;ins:0,0;del:0,0;score:2082
5	308816	161223	165212	+	64924511	3989	0	3989	0.0000	60	mm:0;ins:0,0;del:0,0;score:3989
1	1238593	930491	932135	-	66081928	1644	0	1644	0.0000	60	mm:0;ins:0,0;del:0,0;score:1644
10	150036	66650	66758	+	66081928	1644	1536	1644	0.0000	60	mm:0;ins:0,0;del:0,0;score:108
15	103233	2102	3326	-	66185364	1224	0	1224	0.0000	60	mm:0;ins:0,0;del:0,0;score:1224
6	591782	544328	545094	+	66344411	766	0	766	0.0000	60	mm:0;ins:0,0;del:0,0;score:766
15	103233	61145	61894	-	66675012	749	0	749	0.0000	60	mm:0;ins:0,0;del:0,0;score:749
1	1238593	1023133	1023775	-	67622717	642	0	642	0.0000	60	mm:0;ins:0,0;del:0,0;score:642
1	1238593	115135	115659	+	67689347	524	0	524	0.0000	60	mm:0;ins:0,0;del:0,0;score:524
3	369480	365149	365690	+	67817565	541	0	541	0.0000	60	mm:0;ins:0,0;del:0,0;score:541
1	1238593	872031	872139	-	68208370	674	0	108	0.0000	60	mm:0;ins:0,0;del:0,0;score:108
7	474387	236350	237024	-	68208370	674	0	674	0.0000	60	mm:0;ins:0,0;del:0,0;score:674
4	319932	227301	228111	-	68528758	810	0	810	0.0000	60	mm:0;ins:0,0;del:0,0;score:810
11	237718	14413	15188	+	69054174	776	1	776	0.0258	60	mm:20;ins:0,0;del:0,0;score:675
3	369480	237359	239342	-	69342743	1983	0	1983	0.0000	60	mm:0;ins:0,0;del:0,0;score:1983
2	676873	591853	592603	-	69949669	750	0	750	0.0000	60	mm:0;ins:0,0;del:0,0;score:750
2	676873	567662	568342	+	69960754	680	0	680	0.0221	60	mm:15;ins:0,0;del:0,0;score:605
6	591782	51507	52291	-	70289404	703	0	703	0.1224	60	mm:15;ins:1,81;del:0,0;score:541
6	591782	227523	228217	-	70317141	694	0	694	0.0000	60	mm:0;ins:0,0;del:0,0;score:694
5	308816	92935	94617	+	70627190	1682	0	1682	0.0000	60	mm:0;ins:0,0;del:0,0;score:1682
1	1238593	711655	712209	+	70893206	554	0	554	0.0000	60	mm:0;ins:0,0;del:0,0;score:554
8	284015	172832	173623	+	71323804	791	0	791	0.0000	60	mm:0;ins:0,0;del:0,0;score:791
5	308816	292384	296144	-	71361619	3760	0	3760	0.0000	60	mm:0;ins:0,0;del:0,0;score:3760
12	131948	1584	5344	-	71361619	3760	0	3760	0.0000	60	mm:0;ins:0,0;del:0,0;score:3760
1	1238593	1132115	1132709	+	71569140	594	0	594	0.0000	60	mm:0;ins:0,0;del:0,0;score:594
4	319932	217584	218482	+	71649678	898	0	898	0.0000	60	mm:0;ins:0,0;del:0,0;score:898
2	676873	656946	657544	+	72107272	598	0	598	0.0000	60	mm:0;ins:0,0;del:0,0;score:598
2	676873	66188	67264	-	72446168	1076	0	1076	0.0000	60	mm:0;ins:0,0;del:0,0;score:1076
7	474387	191372	192448	-	72446168	1076	0	1076	0.0000	60	mm:0;ins:0,0;del:0,0;score:1076
2	676873	367745	368696	+	72554944	951	0	951	0.0000	60	mm:0;ins:0,0;del:0,0;score:951
4	319932	222978	223740	+	73404928	762	0	762	0.0000	60	mm:0;ins:0,0;del:0,0;score:762
8	284015	168556	169074	+	73575517	518	0	518	0.0000	44	mm:0;ins:0,0;del:0,0;score:518
1	1238593	1057817	1059076	-	74186178	1259	0	1259	0.0000	60	mm:0;ins:0,0;del:0,0;score:1259
19	62488	39104	40038	-	74660292	934	0	934	0.0000	60	mm:0;ins:0,0;del:0,0;score:934
6	591782	575818	576774	+	75605811	956	0	956	0.0000	60	mm:0;ins:0,0;del:0,0;score:956
22	29686	24904	25406	-	75618433	502	0	502	0.0179	60	mm:9;ins:0,0;del:0,0;score:457
11	237718	207945	208668	+	76026480	723	0	723	0.0000	60	mm:0;ins:0,0;del:0,0;score:723
14	116408	85573	86522	+	76048665	949	0	949	0.0000	60	mm:0;ins:0,0;del:0,0;score:949
20	62468	24791	25593	+	76087021	802	0	802	0.0000	60	mm:0;ins:0,0;del:0,0;score:802
5	308816	296117	296713	+	76367216	596	0	596	0.0000	60	mm:0;ins:0,0;del:0,0;score:596
12	131948	5317	5913	+	76367216	596	0	596	0.0000	60	mm:0;ins:0,0;del:0,0;score:596
18	87812	53110	53729	-	76514229	619	0	619	0.0000	60	mm:0;ins:0,0;del:0,0;score:619
6	591782	438159	438780	+	76857829	621	0	621	0.0000	60	mm:0;ins:0,0;del:0,0;score:621
1	1238593	953112	954139	-	76937248	1027	0	1027	0.0000	60	mm:0;ins:0,0;del:0,0;score:1027
2	676873	441475	441583	+	77066873	861	0	108	0.0000	60	mm:0;ins:0,0;del:0,0;score:108
6	591782	353317	353425	-	77066873	861	0	108	0.0000	60	mm:0;ins:0,0;del:0,0;score:108
7	474387	452937	453636	-	77213666	699	0	699	0.0129	60	mm:9;ins:0,0;del:0,0;score:654
2	676873	74820	75686	+	77476028	866	0	866	0.0000	60	mm:0;ins:0,0;del:0,0;score:866
5	308816	170140	171004	+	77985902	864	0	864	0.0000	60	mm:0;ins:0,0;del:0,0;score:864
1	1238593	330661	331436	-	78433127	775	0	775	0.0000	60	mm:0;ins:0,0;del:0,0;score:775
7	474387	463539	463620	+	79008648	1310	794	875	0.0000	60	mm:0;ins:0,0;del:0,0;score:81
1	1238593	983661	984255	-	79170133	594	0	594	0.0000	60	mm:0;ins:0,0;del:0,0;score:594
5	308816	219801	220586	+	79697115	785	0	785	0.0000	60	mm:0;ins:0,0;del:0,0;score:785
1	1238593	707704	708813	-	79819587	1109	0	1109	0.0000	60	mm:0;ins:0,0;del:0,0;score:1109
10	150036	93340	93492	+	79897066	520	133	286	0.0261	60	mm:3;ins:0,0;del:1,1;score:130
4	319932	104021	104904	-	79935931	883	0	883	0.0000	60	mm:0;ins:0,0;del:0,0;score:883
5	308816	84157	85549	-	79979450	1392	0	1392	0.0000	60	mm:0;ins:0,0;del:0,0;score:1392
1	1238593	410607	411157	+	80326263	550	0	550	0.0000	60	mm:0;ins:0,0;del:0,0;score:550
2	676873	666262	667227	+	80742626	965	0	965	0.0000	60	mm:0;ins:0,0;del:0,0;score:965
4	319932	201670	202601	-	81235612	931	0	931	0.0000	60	mm:0;ins:0,0;del:0,0;score:931
3	369480	198418	198667	-	81728758	590	0	249	0.0281	60	mm:7;ins:0,0;del:0,0;score:214
4	319932	318233	318756	+	81878207	523	0	523	0.0000	60	mm:0;ins:0,0;del:0,0;score:523
6	591782	479664	480273	+	83248143	609	0	609	0.0000	60	mm:0;ins:0,0;del:0,0;score:609
20	62468	57371	58240	-	83784911	869	0	869	0.0000	60	mm:0;ins:0,0;del:0,0;score:869
7	474387	360225	361112	+	83928860	887	0	887	0.0000	60	mm:0;ins:0,0;del:0,0;score:887
2	676873	358650	360001	+	84003339	1351	0	1351	0.0000	60	mm:0;ins:0,0;del:0,0;score:1351
1	1238593	231372	231521	+	84189178	679	456	605	0.0134	60	mm:2;ins:0,0;del:0,0;score:139
1	1238593	636641	637158	+	84308833	517	0	517	0.0000	60	mm:0;ins:0,0;del:0,0;score:517
3	369480	96524	97036	-	84495376	512	0	512	0.0000	60	mm:0;ins:0,0;del:0,0;score:512
1	1238593	521556	523061	-	84835765	1505	0	1505	0.0000	60	mm:0;ins:0,0;del:0,0;score:1505
4	319932	54101	55497	-	85105825	1474	0	1474	0.1224	60	mm:78;ins:4,13;del:3,91;score:847
1	1238593	198334	199493	+	85210437	1159	0	1159	0.0000	60	mm:0;ins:0,0;del:0,0;score:1159
2	676873	7720	9122	-	85672632	1415	0	1402	0.0000	60	mm:0;ins:0,0;del:0,0;score:1402
1	1238593	807708	807816	+	85997400	622	514	622	0.0000	60	mm:0;ins:0,0;del:0,0;score:108
16	107813	0	108	+	85997400	622	514	622	0.0000	60	mm:0;ins:0,0;del:0,0;score:108
11	237718	220385	223526	+	86042863	3141	0	3141	0.0000	60	mm:0;ins:0,0;del:0,0;score:3141
1	1238593	797596	798526	-	87178853	930	0	930	0.0000	60	mm:0;ins:0,0;del:0,0;score:930
3	369480	365938	368059	-	87233332	2121	0	2121	0.0000	60	mm:0;ins:0,0;del:0,0;score:2121
1	1238593	723621	725542	+	87655289	1921	0	1921	0.0000	60	mm:0;ins:0,0;del:0,0;score:1921
6	591782	445811	446438	+	87791410	627	0	627	0.0000	60	mm:0;ins:0,0;del:0,0;score:627
12	131948	75325	76090	-	88131632	765	0	765	0.0000	60	mm:0;ins:0,0;del:0,0;score:765
1	1238593	629067	629718	-	88313008	651	0	651	0.0000	60	mm:0;ins:0,0;del:0,0;score:651
4	319932	214219	214806	-	88866519	587	0	587	0.0000	60	mm:0;ins:0,0;del:0,0;score:587
1	1238593	310594	311201	+	88884772	607	0	607	0.0000	60	mm:0;ins:0,0;del:0,0;score:607
11	237718	185047	185263	+	88884772	607	391	606	0.0139	60	mm:2;ins:1,1;del:0,0;score:198
7	474387	19622	20454	+	89548647	832	0	832	0.0000	60	mm:0;ins:0,0;del:0,0;score:832
1	1238593	722364	722924	-	89722796	560	0	560	0.0000	60	mm:0;ins:0,0;del:0,0;score:560
4	319932	150668	151260	+	89896721	592	0	592	0.0000	60	mm:0;ins:0,0;del:0,0;score:592
6	591782	588231	589049	+	90183068	818	0	818	0.0000	60	mm:0;ins:0,0;del:0,0;score:818
6	591782	127855	128820	-	90413593	965	0	965	0.0000	60	mm:0;ins:0,0;del:0,0;score:965
2	676873	256389	256946	+	90444823	557	0	557	0.0000	60	mm:0;ins:0,0;del:0,0;score:557
4	319932	6821	7378	+	90444823	557	0	557	0.0000	60	mm:0;ins:0,0;del:0,0;score:557
8	284015	276012	276569	-	90444823	557	0	557	0.0000	60	mm:0;ins:0,0;del:0,0;score:557
6	591782	557357	558200	-	91445055	843	0	843	0.0000	60	mm:0;ins:0,0;del:0,0;score:843
2	676873	542499	543282	+	92078395	783	0	783	0.0000	60	mm:0;ins:0,0;del:0,0;score:783
8	284015	3325	4063	-	92293158	738	0	738	0.0000	60	mm:0;ins:0,0;del:0,0;score:738
14	116408	13370	14116	+	92512029	746	0	746	0.0000	60	mm:0;ins:0,0;del:0,0;score:746
4	319932	236883	238660	+	93101560	1777	0	1777	0.0000	60	mm:0;ins:0,0;del:0,0;score:1777
1	1238593	1164922	1165832	-	93156083	910	0	910	0.0000	60	mm:0;ins:0,0;del:0,0;score:910
6	591782	81175	82207	-	93652624	1032	0	1032	0.0000	60	mm:0;ins:0,0;del:0,0;score:1032
2	676873	90642	92262	+	93870498	1620	0	1620	0.0000	60	mm:0;ins:0,0;del:0,0;score:1620
3	369480	259648	259766	-	94289559	597	11	129	0.0424	20	mm:5;ins:0,0;del:0,0;score:93
2	676873	112181	113252	-	94437020	1071	0	1071	0.0000	60	mm:0;ins:0,0;del:0,0;score:1071
4	319932	287847	288584	+	94562447	737	0	737	0.0000	60	mm:0;ins:0,0;del:0,0;score:737
1	1238593	581691	582207	+	94582848	516	0	516	0.0000	60	mm:0;ins:0,0;del:0,0;score:516
